lexical_unit,pos,gloss,variant,audio_file,example_sentence,translation
murgu,Noun,"big part of arm, humerus",,638546262077410672A LexExampleSentence.wav,murgu,"lower arm, near junggu"
guriyima,Coverb,peer around,,,guri'guriyima ya-jingin house-ya; yibiyan bangbun yawudjingin warljub guri'guriyima yawudjingin,He's peeking out
donyma,Coverb,"to go crooked",,donyma_sentence_donyma-yanja-banggin.wav,Donyma yanja banggin.,His back went crooked.
jirrg,Noun,little woomera hook,,,,
ngorrogorro,Adverb,afternoon,,ngorrogorro.wav,ngayi-ngun mayin ya-nayin.ga ngorrogorro,"Let's you and me eat, it's getting to be afternoon"
gangman,Noun,plains kangaroo,,gangman.wav,Minini galgalgalgal wunggunburr-gindiya Walanja gangman wu-larriya,"the dogs treed them, goannas, they bit the kangaroos"
gerregerrewuman,Noun,bird sp.,,,"jorijorij mowe-wujban, gerregerrewuman nyerrengma yawudjingin","Jorijorij is a thief, gerregerrewuman make noise"
nad(ba),Coverb,"whole lot",,,"nadba yawurr-gurrgba, nadba yawudjingin ngawurnen, nangarijba wagbawun, warawad wagbawun","They sleeping,  they are sitting a lot of them, not moving around, no going out"
gerrej,Coverb,"fly away",,,"gerrej yanggi gayardung, nanbawan  maw yanggi; gulinyin ya-gomarlan","He flew away, then he flew off., he goes in the scrub."
lirrga,Noun,dance style,,,lirrga wu-dirriya yirrugu Manbulloo-warr,They brought lirrga to us at Manbulloo.
jurrul,Noun,saltwater turtle,,,ya-jingin yigoyog-ja wiya-ya jurrul,It is in salty water.
barlung,Noun,name,,,,
mumbin,Coverb,stare at,,638545443489553085A LexExampleSentence.wav,mumbin ledba ngan-dan,he's staring at me.
durdurr,Coverb,"sit straight",,,durdurr nga-jingin,004 May 17 2023
onion,Noun,onion,,,,
galina,Noun,Acacia,,,,
belerren,Noun,ghost gum,,belerren.wav,Belerren wurr-marnburriya wog wurr-ngundiya.,"They made it out of ""belerren"", they drank it."
jirrigagagu-warang,Noun,"having mark, stripe (of turtle)",,638494480094872103A LexExampleSentence.wav,"jirrgagagu ngorne diw wurr-wudbarriya, jegban wu-jalarriya.",That little turtle got a stripe.
jinjinbuyi-wujban,Noun,"one who keeps others busy, gives jobs, directs others",,638494486778172217A LexExampleSentence.wav,,jinjinbuyi-wujban
ngajngaj(ba),Coverb,"to have pain",,ngajngajba_sentence_banggin-ngajngajba-nga-jingin.wav,Banggin ngajngajba nga-jingin.,I have back pain.
jerrman,Noun,"(various types of) wrens",,638494450262770220A LexExampleSentence.wav,,wudugurlaman jigjig
yimarnayn,Noun,husband,,,And yimarnayn wurrugu-wuya bulgu ya-yu ngalamiynmiyn,And their husband bat is in the middle [of welejban and dendenin].
warrgban,Adjective,"everywhere",,,muymuy yirranggiya warrgban,At Willeroo we went all around.
mardird,Noun,white kite,,,,
nimbuj,Coverb,"hunt away, hunt back",nimbujba,,yiguyu-yi ngunung nimbuj ngan-bundiya  mulurru-warr derderde ngunung,"My mother hunted me away to the old lady, my granny"
bongorrgba,Coverb,"snore",bongorrg,bongorrgba_sentence_bongorrgba-yawurr-gurrba.wav,Bongorrgba yawurr-gurrgba.,They snore.
gawalyan,Noun,porcupine,,,,
jongonong,Noun,"westerners",,,yi-jongon-ba,person from the south
yijarlo,Noun,some,,yijarlo_sentence_yijarlo-yi-ning-wurr-mendiya-yijarlo-yi-dibugdibug-wurr-bundiya.wav,"Yijarlo-yi ning wurr-mendiya, yijarlo-yi dibugdibug wurr-bundiya.","Some snapped it, some poked it."
bulbulba,Coverb,"growl, bristle and growl threateningly",,,,
ngigilman,Adjective,"straight, correct",,,yi-ngigilman,"straight (of marriage, relationship)"
bulagaw,Noun,nankeen night heron,,,"Bulagaw ya-jingin yirrgulu-ya, dilgba ya-nanan yirrgulun.","The night heron lives on the river, he keeps watch on the river."
nyujuj,Adjective,blunt,,,nana jimirndi wunyujuj,That knife is blunt.
ngabobu,Noun,"father's mother; father's mother's brother",,ngabobu.wav,"Ngayugu nga-jingin nganinggin-mulu ngawun-dagbarlan countrymen-mulu  nganinggin wurren, yingagu, ngabobu, and wurre-mulu, yingawa, and yigeyu.","I live (with) my people, I have countrymen, my children, my grandchildren, my own children and brother’s children"
jangbuwarrmin,Adjective,"for nothing,vain, for no return",,jangbuwarrmin_sentence_wonggo-nga-wondi-jangbuwarrmin-nyangandi-ngunung.wav,"Wonggo nga-wondi, jangbuwarrmin nyangandi ngunung.","I didn't give him anything, he came for nothing."
dedded,Coverb,cut,,,dedded wurr-gindiya,"They cut it. [meat, in context]"
nguru,Noun,"tobacco plug",,,nguru nganiwon,Give me tobacco plug. [from mouth]
wurrmug,Coverb,"knock/pull down",,wurrmug_sentence_wurrmug-ye-men.wav,Wurrmug ye-men.,S/he pulls it down.
gamug,Coverb,"wink (at)",,,,
menyin,Noun,fight,,menyin_sentence_yawurr-buyin-menyin-menyin.wav,Yawurr-buyin menyin menyin.,They fight.
jemawurrman,Adjective,hard of hearing,,638494385639299321A LexExampleSentence.wav,"yijemawurrman, yigulan wagbawun","jubad-bari yigulan, wonggo yayi-wojbarnan"
yibumbu,Noun,billy can,,yibumbu_sentence_wurr-gindiya-yibumbu-ya-na.wav,Wurr-gindiya yibumbu-ya na.,They put it in a billy.
derrngma,Coverb,"fart",,,,
dordogdordon,Adjective,"clumsy, shaky (hand)",,,,
lilmunglilmung,Noun,firefly,,638495248510677210A LexExampleSentence.wav,lilmunlilmung,fireflies come at night with light
jambajamba,Noun,"freshwater catfish, nailfish",,,,
galma,Coverb,up,,,,
daragban,Noun,"smiler also proper name",,,"Marluga yibam-wudaragban him askim, new mendi go nendo","He asked Old Man Yibam-wudaragban, he grabbed a horse for him."
ginadba,Coverb,whole lot,,,ngawun-bundi ginadba,I killed them all
dibdib,Coverb,"to pull out",,638546197419563069A LexExampleSentence.wav,nungguru-warra wurr-mendiya dibdib dilmayin,they pulled it out with their hand to paint
bulayi-,Verb,"tell lies",,,Ngawun nu-bulayin nu-bulayin nga-yanarri wurrugu,"No, you're lying, you're lying, I said to them."
barragbarrag,Noun,darter ducks,,,"barragbarra gagaga ya-yana ya-yu yirrgulu-ya ganggangma ngabulg ya-wen,","Darter duck goes gagaga, it lives on the river and dives bottom up."
nyab,Coverb,"stick to, grab firmly",,nyab_sentence_ya-nyangan-galul-wa-ngamandagan-wan-mayin-nyab-ye-men-nungguru-yi-maw-ya-gan-na.wav,"Ya-nyangan galul-wa. ngamandagan-wan, mayin nyab ye-men nungguru-yi maw ya-gan na.","He comes from above, whatsit, grabs the tucker with his hand’and carries it off."
lirrban,Adjective,lying (flat),,,yayungga lirrban yum-nya walanja,lying flat
ngeg,Coverb,"extinguish",ngegngeg ngegba,,yanja dawurlan digirrij ngeg ya-yana,"It goes that way, dead, it expires."
mirijbug,Noun,"pigweed",,638545451067247492A LexExampleSentence.wav,mirijbug yirr-mendiya nguyiyn gonjo-ya,We got pigweed to eat.
buran,Noun,boomerang,,buran.wav,"Wuduwudu wurr-marnburriya wurrugu, buran.",The little ones made boomerangs for themselves.
wirlid,Noun,"tree sp., from which spear made",,,,
dubuluj,Noun,"bag, dilly bag",,dubuluj_sentence_belt-ja-wurr-gindiya-yilamagan-ngamandagan-dubuluj-wurrugu-bega-warang.wav,"Belt-ja wurr-gindiya, yilamagan, ngamandagan, dubuluj wurrugu bega-warang.","They put it in their belt, maybe their dilly bag with tobacco."
burrgi,Noun,"freckled monitor, tree monitor",,,,
jamunyamunya,Noun,plant,,,jamunyamunya,BIT book p.64
balwa,Noun,paint design,,,,
narrinymalin,Noun,"kindling, small twigs",,638546296941950595A LexExampleSentence.wav,narrinymalin yirr-mendiya garrb garrb,we got handfuls of kindling
walbandan,Noun,"plain, flat area",,,walbandan ya-yu yilamagan loyiyin,"There's a flat plain, maybe for dancing."
a,Interjection,oh!,,,,
gala,Adverb,try to,,gala_sentence_gala-na.wav,Gala na!,(Try) have a look!
jaburarrin,Noun,Hyptis suaveolens,,,"wolon yawurr-men.ga jaburarrin, boilim yawurr-yana burrngburrng","When they get grass, they boil it."
yingelembern,Noun,collarbone,,,yingalembern bag yawurr-men (doing sport),They break their collarbone
banjalma,Coverb,"spear through, pierce",,,,
dil,Coverb,"burn, light",diylma,638545419711144493A LexExampleSentence.wav,Dil wurr-bundiya wumunburra bandiya na ngarraba,"They lit a fire, the stone burnt hot."
lorrodba,Coverb,"wash, scrub, abrade crush, make fine",,,"lorrodba bundiya bega, lorrodba bundiya yiwarlng jabalawarna-ya, marranyin wurr-gindiya lorrodba wurr-mendiya jabalawarna-ya",He scrubbed tobocco
mowojba-,Verb,"sneak away from",,638546200738348691A LexExampleSentence.wav,yimarnayn gunga mowojbarri mugurn jingindiyaw yanggi mowoj,"She snuck away from her husband, went sneaking away."
dewedba,Coverb,sneak up,,,dewedba ya-nyangan,"He comes sneaking uo,"
yiwarli,Noun,"arm, fingers, hand",,yiwarli.wav,gala nu-yana yiwarli-warra,"you try to do it with your hands (BH) Floord, whale, turtle"
berrgban,Adjective,"past, go past",,,berrgban yanja dawurlanmin,He goes past that way
morlg,Coverb,"stop quiet, be still",,638546169744928736A LexExampleSentence.wav,,"him stop quiet, what he think about?"
buruwun,Adjective,"killer, good hunter",,buruwun_sentence_lurrbu-yanja-wonggo-nana-yiburuwun-ngawun.wav,"Lurrbu yanja, wonggo nana yiburuwun ngawun.","He goes home, he's not a great provider."
gimarrib,Coverb,"look around, check up on (surreptitiously)",,638432930046821633A LexExampleSentence.wav,ya-nyangan nurrugu gimarrib,He comes to check up on you. [get information]
barrwa,Adjective,down,,barrwa_sentence_tealeaf-yayu-barrwarrwa-cup-ya.wav,Tealeaf yayu barrwarrwa cup-ya.,Tea leaves are at the bottom of the cup.
Galapin,Noun,"Galloping Jack's, placename",,,galgalba-ya wiya-ya darni beye Galapin-ya,"in the shallow water, low down there at Galloping Jack's"
marlnga,Noun,cloud,,marlnga_sentence_marlnga-yawudba.wav,Marlnga yawudba.,Cloud comes out.
barrawunda,Noun,big rain,,,,(with lightning and wind)
dalma,Coverb,"to sit around",,,marlarluga wudjingindiya dalma wuja-ya,The old men sat around the fire
yiyawan,Noun,"father's mother's mother's spouse,",,,,
jarrug,Noun,egg,,,"jarrug ye-men- gunga guwarlambarla-wu marran-ya ya-marnbun-ga, badbad ya-gin-wan marran-ya","They get turtle eggs in the sand, where it covers it."
loseim,Coverb,die (Kriol),,,,
wabirrg,Coverb,"drop",,wabirrg_sentence_wabirrg-nga-mendi.wav,Wabirrg nga-mendi nana wurren yibililiman.,I dropped the slippery child.
yunjun,Adjective,"full, actual",,,"yibayin-nyunuyn, yidugal-yunuyn",
Dijguya,Noun,placename,,,,
bula,Noun,"little boy",,bula.wav,Bula-mulu yawudjingin ngawurnen.,Many boys are there.
ngardi,Interrogative,"good job!",,638546325217096031A LexExampleSentence.wav,ngardii ngardan-gunba,"good job, because of that antbed"
barnngamala,Noun,"insect which seeks light, falls down modern lighting",,,,
derlderlma,Coverb,"burn severely",,,derlderlma yirra mirrngmirrngma yayungga,we burn when it is very hot.
gorlb,Coverb,"take aim at",,,"gorlb ye-men garnin, yilamagan gangman ya-lawun borlgob","Him aim spear, maybe get that kangaroo sneakin [up]"
gayardung,Coverb,"run",,gayardung_sentence_yinga-buynga-nana-wurren-gayardung-yanggi copy.wav,"Yinga-buyn.ga nana wurren, gayardung yanggi.","I wanted to hit the kid, he ran away."
bol-warang,Adjective,"having grey hair",,,,
gelngerre,Coverb,"bludge, `loafer'",,,gelngerre ya-nyangan damirlan ngarrugu yilamagan layin-gu,He's coming this way to us to bludge; maybe for meat
jab,Coverb,"to stop",,,"wonggo menyinmenyin mala yiniwundan, jab bundi","you can't be angry with them, he stopped them"
wumeme,Noun,right (hand),,,,
gulirrida,Noun,peewee,,,wojbarnarri jigjig wayana gulirrida golododog gaygbarri,"He listened to all the birds, peewees, doves were calling out."
yilaglawun,Noun,resident,,,Ngayugu yilaglawun nga-jingin.ga legeweng.,"I'm a resident, living in one place."
gengen,Noun,tree,,,,
mondob,Coverb,"having many branches, dark shade",mondoba,638546164858188021A LexExampleSentence.wav,Yiwarnagari yumin ngayi-nan mondoba yayungga,We see another tree with a lot of branches.
miwin.gugug,Noun,sleepy bugger,,638545458888678924A LexExampleSentence.wav,nana wurren miwin-gugug,That child is a sleepy head.
nyorijban,Noun,bird,,,,
goyogban,Noun,orphan,,goyogban.wav,"goyogban, yiguyu wagbawun, yibiwi ngegbarri-wan","A goyogban has no mother, and when the father dies."
Gornbuya,Noun,"place, Shipton Billabong",,,,
yiwad,Noun,"vagina, female pubis",,,,
dingarrija,Noun,(returning) spirit form,,,,
wumuma,Coverb,"throng, of fly",,,wunguma yawudjingin,they are humming
nyirri,Noun,"kerchief, headscarf",,,nyirri badbad wurr-gindiya yidugal-wu,They covered themselves with headscarves for sons-in-law
ngarndamulu,Noun,language of rain,,,,
lombun,Noun,Magpie goose,,,,
durla-,Verb,"copulate with",,,,
burdbawu,Noun,name,,,,
lejlej,Coverb,strip,,638495238252304193A LexExampleSentence.wav,galijba wurr-mendiya lejlej barnnga,They'd strip the kapok.
ngewb,Coverb,"breathe, be short of breath","ngewba, ngewbngewba rdp.",ngewba.wav,ngewba nga-jingin,I am breatheing.
durd,Coverb,"seize, grasp",durdba,,yijili durd.,Pulled (my) hair. [in a fight]
nyobo,Noun,mouse,,,la-ya ya-jingin nyobo.,The mouse is in the hole.
wu-jamaram,Noun,"door, lid",,,,
gerrin,Adjective,"tame, not dangerous",,,"minini yi-gerrin, wonggo ya-lan","He's a quiet dog, he doesn't bite."
yawurran,Noun,"dish, receptacle, tank, tarp, ground cover",,,,
gojorlo,Noun,personal name,,,,
jongon-burri,Noun,those from the west,,,,
ngardab(a),Coverb,"be hot",,638546323244588512A LexExampleSentence.wav,marninggani ngardaba ya-yu,The sun is hot.
oni,Conjunction,only,,,,
beyerlen,Adverb,downstream,,beyerlen.wav,,
gonjon,Noun,"ground, grave",,gonjon.wav,"Gonjon wurr-bujirriya, gonjon jerrin-gu.","They dug the ground, the ground for the oven."
garralgba,Coverb,"burp",,,bardarda garralgba ya-jingin,The baby burps.
marnden  mernde-,Noun,"ghost, whitefella, dead person, gerrejban",,,marnden gerrejba,mernden ya-nyangan wurrguru   [wonggo yini-men yingyi ]
gunduyma-wujban,Noun,"fighter, trouble-maker",,,"wunggu-darri gunduyma-wujban, Marlarluga yin.gunburr-wondi","He saw them as troublemakers [young men], they gave us to old men."
labang,Coverb,"carry on shoulder",,638495193518855124A LexExampleSentence.wav,Labang wunggunburr-gindiya wurren yinebel-ya bidamarla-ya.,"They carried children on their shoulders, on their necks."
jarlg,Coverb,"cut, stab",,,"jarlg bundiya, nanbawan ginydan-barra jarlg wurr-mendiya","He stabbed it, then opened out with stone spear."
nginyma-,Verb,"to assist, `take partner'",,,ya-nginyma darni yewelen wonggo yingang-won ngan-nginyma yawurr-nginyma,"He refuses, I can't give you , they say no"
jirranin,Noun,"bloodwood, snappy river gum",,,wurr-mendiya marlugbarr-wu,They got it for digeridoos.
dijgarrb,Coverb,"jump out, shoot out, of liquid",dijgarrba,dijgarrb.wav,Dijgarrb ya-nyangan durrb  yingun-bun.ga,It spurts out when he pierces us.
gadi,Noun,lily,,,gadi langganin-ya ya-yu ya-gajun,Gadi is found and grows in billabongs.
werl,Coverb,"excavate, dig out",werlwerl,werlwerl.wav,"Wurr-bujurriya wumunburra-ya, werl wurr-mendiya yaramarrgu nanawunyin jingindiya,","They dug in the rock, they extracted the ground sugarbag that was there."
ngorrma-,Verb,"grind",,ngorrma_sentence_ngorrmarri.wav,Ngorrmarri.,He ground it (spear).
mudugurrma,Coverb,"double up",,638546204444602334A LexExampleSentence.wav,"mudugurrma bandi, ngardurdug bandi","He burnt and crumpled, it doubled up."
giyidin,Noun,"rubbish, material floating floodwater, louse",,,"jarrang-nyi ya-nin giyidin, wiya-yi giyidin ngij gindi","The current brings the rubbish, the water put the rubbish to one side."
garligarli,Noun,ribs,,,,
danjan,Noun,algae,,,[see BH Flora] Zoom 21 of July 2023,
yiguwarraman,Adjective,check,,,,
giwurrgba,Coverb,"sulk",,,Giwurrgba jingindiya,He was sulky.
gejgej-gujban,Noun,"humbug, asking bugger",,,,
warrguj,Coverb,"pick up",,,Yilgbayi nga-nyangandi yinggawun warrgujba-wu,"OK, I came to pick you up."
waduwadu,Noun,"cousin",,,waduwadu yawudjangan,Cousin is coming.
ngedbu,Noun,mouse,,,ngedbu ya-yu gonjo-ya,ngedbu is in the ground [grey]
julu,Noun,hill,,julu.wav,Ngarrya galul julu-warr.,Let's go up on the hill.
Warrigbang,Noun,"Warrigbang, placename",,,warrigab wurr-woyirri,they were confused
bunggurrun,Noun,`woollybutt',,,,
morlomlomba,Noun,place,,,,
warlarrgu,Adjective,outside,,warlarrgu_sentence_mayin-yawurr-dagbarlan-warlarrgu.wav,Mayin yawurr-dagbarlan warlarrgu.,He has food outside.
merleng,Noun,"light, flame",,638545409689589373A LexExampleSentence.wav,merleng yi-dagbarlan mobonyi.,We have torches at night.
yimumbarra,Adjective,blind,,yimumbarra.wav,"Marluga nana yimum-barra, jodba yanja yumin-barra","The old man is blind, he walks with a stick."
ngoy,Coverb,"scoop up",ngoyma ngoyngoy,ngoyma.wav,Ngamanda gun.garrma ngoyma wurr-mendiya wiyan?,How did they scoop up water?
jabara,Noun,"rotten, pus",,,"yilamagan jabara-yi ngan-men, mogba nga-jingin","Maybe I have pus, I smell."
bulun,Noun,wind,,,yilamagan yimenjen bulun ya-nyangan,Maybe a fierce wind is coming.
gulb,Coverb,"thump, make thumping sound",,,gulba ya-bun wiyan,Him hit the water (thump it).
yidorr,Noun,name,,,,
madmad,Coverb,"shut up, block",,,yijaga mad yanggun-men ngorlogba-wu,They shut up mouth for talking
newerrman,Adjective,hungry,,,,
jangala,Noun,"subsection term",,,,
Gegeyenman,Noun,"Gegeyenman, name",,,marluga yiwangari  Gegeyenman  Gimiyn-gu go yibiwi liw nyanga-ndi jumba na narnaj,"old man Yiwangari Gegeyenman, Gimiyn's father, he came swimming behind himself"
yijumidba,Noun,young goanna,,,,
nyangurlang,Interrogative,when,,,nyangurlang yi-nyangayan lurrbu,When might you come back?
mamarran.gun,Noun,string pandanus,,,,
nyarrb,Coverb,"walk around",nyarrbnyarrb,,wonggo yawudjangan nyarrbnyarrb,"They don't return."
belgin,Noun,"mud",,,,
jabarda,Noun,skin,,,,
juyn,Coverb,sunset,junyma,,juyn yanja-ga,when the sun goes down
ngadjirr,Coverb,"sneeze",ngadjirrma,ngadjirrma.wav,"ngadjurlma-wu, ngadjirrma-wu",to cough and sneeze
bidamarla,Noun,neck,,,,
jarrambu,Coverb,search of,,,wudjangandiya gorro-wa jarrambu wurg-gu,They came from the south looking for work.
bunbunbanga,Noun,"scrub",,,,
ngambarlngambarl,Coverb,"flood, big tide",,,ngambarlngambarl nyirib wunggun-gandi,"tumbling forth, and blocked them"
jaweyi-,Verb,"to be tired",,jaweyi_sentence_ya-jaweyin.wav,Ya-jaweyin.,S/he's tired.
buyi-,Inch,"become",,,,
marnamurran,Noun,`dog's balls',,,"mayin gunga wuduwudu, marnamurran",Small tuckers [dog's balls]
jangurruga,Noun,"person who eats a lot, glutton",,jangurruga.wav,,"He eats a lot, he goes to eat anytime."
wiya-wujban,Noun,"drinker, drunken one, drunkard",,wiya-wujban.wav,,
malabarr,Noun,"cold weather",,,malabarr,
gayil,Noun,tooth,,gayil.wav,"Layin yirr-ngun yijaga-warra, gayil-warra.","We eat meat with (our) mouths, with (our) teeth."
jibu,Coverb,"extinguish, expunge",,,jibu bu nanani wuja,Put out this fire.
dawu-rlan,Demonstrative,(the direction of) that way,,dawurlan_sentence_dawurlan-yawurrya.wav,Dawurlan yawurrya.,They go that way.
gorlorlogba-wari,Adjective,straight,,,,
bagabaga,Noun,"conkerberry",,,,
jangang,Coverb,"to struggle to, `hard work la', keep on",,,"jangang nga-gaygbarri go, wonggo ngan-wojbarnarri, jangang.","I sang out to her hard work, she didn't listen, jangang."
ngabulg,Adverb,"dive, go under",,,Nanba-wan wiyan ngabulg wendi,And from there the water went underground.
